,State,District,Total,Hindu,Muslim,Christian,Sikh,Buddhist,Jain,Other/Unclassified,Unstated
321,Madhya Pradesh,Hoshangabad,1241350,1175203,52269,4453,3127,1550,3888,107,753
322,Madhya Pradesh,Katni ,1292042,1240650,37232,3158,1167,157,5342,2643,1693
323,Madhya Pradesh,Jabalpur,2463289,2159065,203652,23142,13256,4320,33728,21010,5116
324,Madhya Pradesh,Narsimhapur,1091854,1038628,39048,914,997,262,8125,2873,1007
325,Madhya Pradesh,Dindori ,704524,605435,6736,4238,260,61,687,84006,3101
326,Madhya Pradesh,Mandla,1054905,849518,16558,12450,436,297,1789,170533,3324
327,Madhya Pradesh,Chhindwara,2090922,1923920,100692,4893,2258,24471,7830,25771,1087
328,Madhya Pradesh,Seoni,1379131,1145052,79739,1857,360,7288,4982,135315,4538
329,Madhya Pradesh,Balaghat,1701698,1519384,38542,5295,1050,72162,4778,58064,2423
330,Madhya Pradesh,Guna,1241519,1172248,49203,1208,3271,529,13474,52,1534
331,Madhya Pradesh,Ashoknagar,845071,778214,40707,635,8009,1352,15094,27,1033
332,Madhya Pradesh,Shahdol,1066063,997073,42426,2372,912,268,1737,19448,1827
333,Madhya Pradesh,Anuppur,749237,686524,21473,2132,606,86,1653,35434,1329
334,Madhya Pradesh,Sidhi,1127033,1077545,34419,511,128,92,93,12556,1689
335,Madhya Pradesh,Singrauli,1178273,1118998,46574,2332,1422,338,182,6139,2288
336,Madhya Pradesh,Jhabua,1025048,960925,15733,38423,141,65,8871,388,502
337,Madhya Pradesh,Alirajpur,728999,705060,17660,4600,65,36,780,271,527
338,Madhya Pradesh,Khandwa (East Nimar),1310061,1182330,116277,2800,1726,1425,3856,158,1489
339,Madhya Pradesh,Burhanpur,757847,552526,180840,1199,1074,19883,1884,99,342
340,Maharashtra,Nandurbar,1648295,1521618,96182,8467,685,4969,6191,2907,7276
341,Maharashtra,Dhule,2050862,1825460,187901,3653,1422,13405,12818,912,5291
342,Maharashtra,Jalgaon,4229917,3457615,560261,7091,3091,143865,27404,9662,20928
343,Maharashtra,Buldana,2586258,1845424,354236,3531,1668,364229,12242,522,4406
344,Maharashtra,Akola,1813906,1107809,357253,4483,1504,328033,10205,389,4230
345,Maharashtra,Washim,1197160,859949,142672,1707,518,179330,8476,381,4127
346,Maharashtra,Amravati,2888445,2055177,421410,7223,2242,383891,11360,3288,3854
347,Maharashtra,Wardha,1300774,1057096,53854,2696,2147,175417,5663,2254,1647
348,Maharashtra,Nagpur,4653570,3492202,390974,34667,20469,668050,24528,12181,10499
349,Maharashtra,Bhandara,1200334,1009352,26502,2145,831,154458,1017,3555,2474
350,Maharashtra,Gondiya,1322507,1153861,26157,1827,2160,125282,1568,5080,6572
351,Maharashtra,Gadchiroli,1072942,927411,21063,3872,681,82695,454,30047,6719
352,Maharashtra,Chandrapur,2204307,1780085,92297,10701,5251,286734,3861,23188,2190
353,Maharashtra,Yavatmal,2772348,2251401,239236,4567,1596,249874,11422,3745,10507
354,Maharashtra,Nanded,3361292,2501741,471951,3902,13540,354189,5049,1273,9647
355,Maharashtra,Hingoli,1177345,863199,127552,992,643,176679,5278,103,2899
356,Maharashtra,Parbhani,1836086,1328385,306364,2081,1371,187899,6238,262,3486
357,Maharashtra,Jalna,1959046,1504641,274221,12542,1629,152540,9619,336,3518
358,Maharashtra,Aurangabad,3701282,2545438,786677,15991,5142,309093,30981,1005,6955
359,Maharashtra,Nashik,6107187,5237009,693052,23946,8912,94783,38212,1795,9478
360,Maharashtra,Thane,11060148,8716055,1355630,280700,39149,449617,172052,9862,37083
361,Maharashtra,Mumbai Suburban,9356962,6337132,1795788,322476,47288,469568,343639,18345,22726
362,Maharashtra,Mumbai,3085411,1873762,773173,84555,13471,134257,166000,31094,9099
363,Maharashtra,Raigarh,2634200,2239370,227465,17452,7477,121791,12260,1159,7226
364,Maharashtra,Pune,9429408,8090254,673704,134192,27090,340404,127786,9873,26105
365,Maharashtra,Ahmadnagar,4543159,4107143,320743,22766,5431,33898,38718,1408,13052
366,Maharashtra,Bid,2585049,2174672,320395,2097,824,68482,8719,399,9461
367,Maharashtra,Latur,2454196,2006984,367664,2387,935,66535,6387,310,2994
368,Maharashtra,Osmanabad,1657576,1437623,178925,942,340,28216,4530,195,6805
369,Maharashtra,Solapur,4317756,3795424,441254,9882,1279,35497,28134,568,5718
370,Maharashtra,Satara,3003741,2691952,146970,4408,1182,141315,12810,676,4428
371,Maharashtra,Ratnagiri,1615069,1307211,187197,1990,230,113467,3347,95,1532
372,Maharashtra,Sindhudurg,849651,780384,26264,15471,219,24762,1046,53,1452
373,Maharashtra,Kolhapur,3876001,3379906,286558,15573,1570,29766,154882,1274,6472
374,Maharashtra,Sangli,2822143,2440312,239607,9098,1260,38210,87453,769,5434
375,Manipur,Senapati,479148,43833,1649,426819,140,2409,53,1243,3002
376,Manipur,Tamenglong ,140651,2995,589,134760,59,425,57,1144,622
377,Manipur,Churachandpur,274143,12034,2886,254979,152,495,87,2333,1177
378,Manipur,Bishnupur,237399,175102,18691,4264,56,76,16,38457,737
379,Manipur,Thoubal,422168,267146,107323,4322,106,114,24,42347,786
380,Manipur,Imphal West,517992,387497,24298,23377,589,1891,1264,77032,2044
381,Manipur,Imphal East,456113,274906,80199,27361,181,639,62,70825,1940
382,Manipur,Ukhrul,183998,7553,1115,174112,108,635,70,32,373
383,Manipur,Chandel,144182,10810,3086,129049,136,400,59,354,288
384,Meghalaya,West Garo Hills,643291,122936,106788,389956,209,3392,144,16950,2916
385,Meghalaya,East Garo Hills,317917,17272,3359,289708,56,1004,38,5617,863
386,Meghalaya,South Garo Hills,142334,7036,1050,132984,27,332,10,362,533
387,Meghalaya,West Khasi Hills,383461,6498,1533,366881,58,1313,38,5878,1262
388,Meghalaya,Ribhoi,258840,30945,1838,218508,166,428,49,6308,598
389,Meghalaya,East Khasi Hills,825922,144935,14185,543394,2495,3111,303,115597,1902
390,Meghalaya,Jaintia Hills,395124,12456,1646,271596,34,284,45,107559,1504
391,Mizoram,Mamit,86364,2989,1782,69104,13,12328,25,19,104
392,Mizoram,Kolasib,83955,4000,4426,75210,16,108,2,46,147
393,Mizoram,Aizawl,400309,13249,5264,379134,105,1570,76,505,406
394,Mizoram,Champhai,125745,1075,699,123446,9,151,45,194,126
395,Mizoram,Serchhip,64937,991,335,63444,6,60,9,35,57
396,Mizoram,Lunglei,161428,5231,1290,127124,74,27543,93,5,68
397,Mizoram,Lawngtlai,117894,1668,522,63892,52,51549,122,2,87
398,Mizoram,Saiha,56574,933,514,54977,11,102,4,2,31
399,Nagaland,Mon,250260,8102,3444,236494,84,1256,314,1,565
400,Nagaland,Mokokchung,194622,9840,2057,181847,78,442,66,6,286
401,Nagaland,Zunheboto,140757,2580,772,136995,39,286,6,2,77
402,Nagaland,Wokha,166343,5605,2043,158236,34,318,8,20,79
403,Nagaland,Dimapur ,378811,108900,31212,234239,566,1270,2148,157,319
404,Nagaland,Phek,163418,3563,950,158224,31,350,17,198,85
405,Nagaland,Tuensang,196596,2979,1052,191864,27,572,5,1,96
406,Nagaland,Longleng,50484,873,635,48849,5,77,0,0,45
407,Nagaland,Kiphire,74004,1040,564,71803,13,210,1,1,372
408,Nagaland,Kohima,267988,25496,4384,234955,998,1519,80,335,221
409,Nagaland,Peren,95219,4076,1850,86145,15,459,10,2493,171
410,Odisha,Bargarh,1481255,1459065,7527,11744,652,161,125,44,1937
411,Odisha,Jharsuguda,579505,553587,12783,10462,1441,80,70,67,1015
412,Odisha,Sambalpur,1041099,964188,20120,50637,2506,310,86,1117,2135
413,Odisha,Debagarh,312520,296001,704,14518,53,102,7,409,726
414,Odisha,Sundargarh,2093437,1532352,71391,385011,5713,710,721,89986,7553
415,Odisha,Kendujhar,1801733,1752694,27752,9141,2177,209,131,7372,2257
416,Odisha,Mayurbhanj,2519738,2113079,33706,15008,661,162,109,351714,5299
417,Odisha,Baleshwar,2320529,2197709,94254,6434,237,111,201,18345,3238
418,Odisha,Bhadrak,1506337,1398543,104202,745,169,81,111,61,2425
419,Odisha,Kendrapara ,1440361,1386792,50247,1423,169,62,52,24,1592
420,Odisha,Jagatsinghapur ,1136971,1086140,46929,1604,206,74,58,63,1897
421,Odisha,Cuttack,2624470,2457729,141263,11985,1026,6276,1180,168,4843
422,Odisha,Jajapur  ,1827192,1725595,93642,1623,470,58,100,3073,2631
423,Odisha,Dhenkanal,1192811,1185542,4805,727,124,366,39,139,1069
424,Odisha,Anugul  ,1273821,1258684,7512,3383,812,226,36,971,2197
425,Odisha,Nayagarh  ,962789,955754,5278,383,107,33,24,12,1198
426,Odisha,Khordha ,2251673,2147632,84060,12527,1264,475,476,434,4805
427,Odisha,Puri,1698730,1644905,46094,4239,193,243,94,302,2660
428,Odisha,Ganjam,3529031,3486059,13315,23975,590,174,170,76,4672
429,Odisha,Gajapati,577817,353160,1556,219482,53,2180,66,4,1316
430,Odisha,Kandhamal,733110,580300,2138,148895,82,290,47,23,1335
431,Odisha,Baudh,441162,438152,1007,522,24,5,11,7,1434
432,Odisha,Subarnapur,610183,605225,1566,2374,58,46,17,6,891
433,Odisha,Balangir,1648997,1618175,7811,16271,565,467,2225,141,3342
434,Odisha,Nuapada,610382,601092,4952,1778,724,76,905,22,833
435,Odisha,Kalahandi,1576869,1555367,4975,11160,796,175,1225,220,2951
436,Odisha,Rayagada  ,967911,874445,4607,84916,219,249,123,44,3308
437,Odisha,Nabarangapur ,1220946,1178005,6753,32152,169,189,325,54,3299
438,Odisha,Koraput,1379647,1294151,8850,68550,518,219,491,3384,3484
439,Odisha,Malkangiri  ,613192,600219,1871,10039,213,43,195,35,577
440,Puducherry,Yanam,55626,53537,1191,873,3,1,4,4,13
441,Puducherry,Puducherry,950289,855294,32674,58328,245,366,1328,147,1907
442,Puducherry,Mahe,41816,27940,12856,958,3,21,14,3,21
443,Puducherry,Karaikal,200222,152638,28835,18391,46,63,54,14,181
444,Punjab,Gurdaspur,2298323,1074332,27667,176587,1002874,405,580,812,15066
445,Punjab,Kapurthala ,815168,336124,10190,5445,453692,6662,553,334,2168
446,Punjab,Jalandhar,2193590,1394329,30233,26016,718363,11385,4011,805,8448
447,Punjab,Hoshiarpur,1586625,1000743,23089,14968,538208,3476,2034,531,3576
448,Punjab,Shahid Bhagat Singh Nagar ,612310,401368,6829,1479,192885,5885,695,266,2903
449,Punjab,Fatehgarh Sahib,600163,152851,16808,1698,427521,48,178,251,808
450,Punjab,Ludhiana,3498739,1502403,77713,16517,1863408,2007,19620,1254,15817
451,Punjab,Moga,995746,158414,9388,3277,818921,178,436,365,4767
452,Punjab,Firozpur,2029074,906408,6844,19358,1090815,454,1143,278,3774
453,Punjab,Muktsar,901896,254920,4333,1681,638625,240,744,433,920
454,Punjab,Faridkot,617508,141363,3125,1227,469789,155,1109,103,637
455,Punjab,Bathinda,1388525,380569,16299,2474,984286,246,1266,559,2826
456,Punjab,Mansa,769751,156539,10375,917,598443,123,1577,493,1284
457,Punjab,Patiala,1895686,783306,40043,5683,1059944,245,1914,1410,3141
458,Punjab,Amritsar ,2490656,690939,12502,54344,1716935,876,3152,1044,10864
459,Punjab,Tarn Taran,1119627,60504,3855,6095,1044903,101,650,47,3472
460,Punjab,Rupnagar,684627,304481,14492,2094,361045,118,653,143,1601
461,Punjab,Sahibzada Ajit Singh Nagar,994628,476276,29488,5342,478908,257,1257,239,2861
462,Punjab,Sangrur,1655169,389410,179116,2406,1077438,268,3222,1038,2271
463,Punjab,Barnala,595527,112859,13100,622,467751,108,246,481,360
464,Rajasthan,Ganganagar ,1969168,1437144,50688,2077,474853,938,1988,164,1316
465,Rajasthan,Hanumangarh,1774692,1433067,118673,1542,216997,241,1935,138,2099
466,Rajasthan,Bikaner,2363937,2073356,235741,1901,20072,285,30850,79,1653
467,Rajasthan,Churu,2039547,1777879,249736,958,402,188,7104,127,3153
468,Rajasthan,Jhunjhunun,2137045,1905682,228178,1004,275,56,548,85,1217
469,Rajasthan,Alwar,3674179,3039279,547335,2696,64532,4384,13221,348,2384
470,Rajasthan,Bharatpur,2548462,2143046,371286,1576,23456,899,5758,18,2423
471,Rajasthan,Dhaulpur,1206516,1127520,72258,688,1356,92,2739,21,1842
472,Rajasthan,Karauli,1458248,1370977,81553,602,297,70,3424,413,912
473,Rajasthan,Sawai Madhopur,1335551,1165505,155681,945,812,177,9991,42,2398
474,Rajasthan,Dausa,1634409,1582335,45488,439,296,94,3737,115,1905
475,Rajasthan,Jaipur,6626178,5819980,687452,12708,18782,1020,81079,257,4900
476,Rajasthan,Sikar,2677333,2342076,327583,1122,356,177,4050,15,1954
477,Rajasthan,Nagaur,3307743,2833443,454487,1912,366,163,12940,276,4156
478,Rajasthan,Jodhpur,3687165,3224399,411558,6035,4123,514,36697,80,3759
479,Rajasthan,Jaisalmer,669919,497045,168129,874,1723,98,1521,34,495
480,Rajasthan,Barmer,2603751,2244882,321192,1157,450,157,34010,34,1869
481,Rajasthan,Jalor,1828730,1732852,78990,730,231,144,14640,82,1061
482,Rajasthan,Sirohi,1036346,996562,30479,1284,572,114,6829,56,450
483,Rajasthan,Pali,2037573,1870543,143476,1345,1540,141,18974,52,1502
484,Rajasthan,Ajmer,2583052,2201663,314159,10605,6799,417,45614,184,3611
485,Rajasthan,Tonk,1421326,1243527,153146,754,378,122,22458,30,911
486,Rajasthan,Bundi,1110906,1017688,66609,682,11059,144,13455,24,1245
487,Rajasthan,Bhilwara,2408523,2224839,142427,1978,1468,183,35149,60,2419
488,Rajasthan,Rajsamand,1156597,1105676,33677,759,260,100,14966,68,1091
489,Rajasthan,Dungarpur,1388552,1340065,28662,830,240,226,16141,853,1535
490,Rajasthan,Banswara,1797485,1701234,48834,22250,427,138,22613,109,1880
491,Rajasthan,Chittaurgarh,1544338,1413163,97855,1274,1515,252,25843,136,4300
492,Rajasthan,Kota,1951014,1661307,243993,5665,11058,280,25742,286,2683
493,Rajasthan,Baran,1222755,1133349,79984,1432,3066,84,2795,48,1997
494,Rajasthan,Jhalawar,1411129,1299751,96164,842,819,46,12488,42,977
495,Rajasthan,Udaipur,3068420,2869976,104307,7406,4278,209,78647,373,3224
496,Rajasthan,Pratapgarh,867848,827293,25597,358,72,32,14077,27,392
497,Sikkim,North  District,43709,14883,815,2660,816,23318,35,921,261
498,Sikkim,West District,136435,75286,965,13002,40,36390,20,10477,255
499,Sikkim,South District,146850,84583,1889,21462,151,35053,45,3176,491
500,Sikkim,East District,283583,177910,6198,23398,861,72455,214,1726,821
501,Tamil Nadu,Thiruvallur,3728104,3325823,143093,233633,1422,951,3693,530,18959
502,Tamil Nadu,Chennai,4646732,3751322,439270,358662,2851,2804,51708,1759,38356
503,Tamil Nadu,Kancheepuram,3998252,3537399,173785,256762,1620,990,4962,756,21978
504,Tamil Nadu,Vellore,3936331,3397857,414760,111390,676,438,3514,251,7445
505,Tamil Nadu,Tiruvannamalai,2464875,2294369,91636,66987,232,157,7898,110,3486
506,Tamil Nadu,Viluppuram,3458873,3174941,133896,138279,325,238,4032,278,6884
507,Tamil Nadu,Salem,3482056,3326357,95487,53841,412,174,992,246,4547
508,Tamil Nadu,Namakkal   ,1726601,1673652,32483,16909,183,108,84,199,2983
509,Tamil Nadu,Erode,2251744,2115455,76098,55899,435,148,639,157,2913
510,Tamil Nadu,The Nilgiris,735394,569477,78452,84610,338,382,910,87,1138
511,Tamil Nadu,Dindigul,2159775,1879494,105012,169945,313,256,71,138,4546
512,Tamil Nadu,Karur ,1064493,993666,53292,16483,115,29,7,79,822
513,Tamil Nadu,Tiruchirappalli,2722290,2279413,190964,246156,324,250,628,253,4302
514,Tamil Nadu,Perambalur  ,565223,521658,32702,10301,83,39,38,26,376
515,Tamil Nadu,Ariyalur  ,754894,708397,7942,37403,104,88,65,42,853
516,Tamil Nadu,Cuddalore,2605914,2391675,123749,83334,401,236,1280,138,5101
517,Tamil Nadu,Nagapattinam  ,1616450,1435072,128617,47579,184,450,963,110,3475
518,Tamil Nadu,Thiruvarur,1264277,1132785,96092,33192,258,151,279,64,1456
519,Tamil Nadu,Thanjavur,2405890,2075870,190814,133971,231,795,1256,148,2805
520,Tamil Nadu,Pudukkottai,1618345,1428784,114194,72850,119,81,32,293,1992
521,Tamil Nadu,Sivaganga,1339101,1186078,74310,75481,150,80,109,24,2869
522,Tamil Nadu,Madurai,3038252,2760502,168881,97711,520,199,1532,305,8602
523,Tamil Nadu,Theni  ,1245899,1148990,56751,37574,152,79,28,74,2251
524,Tamil Nadu,Virudhunagar,1942288,1822626,47838,67405,245,87,98,75,3914
525,Tamil Nadu,Ramanathapuram,1353445,1047411,208038,91139,154,86,29,36,6552
526,Tamil Nadu,Thoothukkudi,1750176,1373920,80740,291908,127,286,53,112,3030
527,Tamil Nadu,Tirunelveli ,3077233,2425630,303368,342254,268,373,144,450,4746
528,Tamil Nadu,Kanniyakumari,1870374,909872,78590,876299,160,438,156,10,4849
529,Tamil Nadu,Dharmapuri,1506843,1452956,38304,14089,164,39,37,87,1167
530,Tamil Nadu,Krishnagiri,1879809,1723737,115303,35956,468,121,373,221,3630
531,Tamil Nadu,Coimbatore,3458045,3044145,211035,190314,1112,435,3284,237,7483
532,Tamil Nadu,Tiruppur,2479052,2278835,123983,70015,455,198,371,119,5076
533,Uttar Pradesh,Saharanpur,3466382,1966892,1454052,6523,18627,1937,10208,135,8008
534,Uttar Pradesh,Muzaffarnagar,4143512,2382914,1711453,6495,18601,1516,16345,60,6128
535,Uttar Pradesh,Bijnor,3682713,2032081,1585210,6184,50624,1736,2134,41,4703
536,Uttar Pradesh,Moradabad,4772006,2488265,2248392,13157,7555,1260,2426,382,10569
537,Uttar Pradesh,Rampur,2335819,1073890,1181337,9201,65316,384,1307,63,4321
538,Uttar Pradesh,Jyotiba Phule Nagar,1840221,1075440,750368,5952,5295,189,517,21,2439
539,Uttar Pradesh,Meerut,3443689,2183255,1185643,10582,24912,1855,18544,236,18662
540,Uttar Pradesh,Baghpat,1303048,917474,364583,1840,483,161,16139,25,2343
541,Uttar Pradesh,Ghaziabad,4681645,3414427,1186776,19026,23001,3487,16412,265,18251
542,Uttar Pradesh,Gautam Buddha Nagar,1648115,1394025,215500,7366,9261,895,4518,91,16459
543,Uttar Pradesh,Bulandshahr ,3499171,2707195,777407,4088,2765,669,1572,86,5389
544,Uttar Pradesh,Aligarh,3673889,2904140,729283,7635,5875,2582,2805,91,21478
545,Uttar Pradesh,Mahamaya Nagar,1564708,1397225,159448,1350,524,424,1289,63,4385
546,Uttar Pradesh,Mathura,2547184,2310776,216933,3179,2872,883,2056,126,10359
547,Uttar Pradesh,Agra,4418797,3922718,411313,10076,12057,4049,21508,384,36692
548,Uttar Pradesh,Firozabad,2498156,2140745,314812,3370,1804,3395,19077,61,14892
549,Uttar Pradesh,Mainpuri,1868529,1746649,100723,1729,475,8814,4161,38,5940
550,Uttar Pradesh,Budaun,3681896,2867707,790515,6320,1135,1959,678,87,13495
551,Uttar Pradesh,Bareilly,4448359,2830768,1536534,14822,28187,4371,931,339,32407
552,Uttar Pradesh,Pilibhit,2031007,1449007,489686,3510,84787,360,138,45,3474
553,Uttar Pradesh,Shahjahanpur,3006538,2412595,527581,4630,51090,2312,301,84,7945
554,Uttar Pradesh,Kheri,4021243,3078262,807600,7502,94388,18454,487,226,14324
555,Uttar Pradesh,Sitapur,4483992,3555450,893725,6579,11611,2663,1410,79,12475
556,Uttar Pradesh,Hardoi,4092845,3508131,556219,5822,5688,6671,446,98,9770
557,Uttar Pradesh,Unnao,3108367,2732016,363453,3574,1204,920,240,31,6929
558,Uttar Pradesh,Lucknow,4589838,3537787,985070,20493,23883,3877,4975,504,13249
559,Uttar Pradesh,Rae Bareli,3405559,2975998,413243,3634,2424,722,397,602,8539
560,Uttar Pradesh,Farrukhabad,1885204,1596278,276846,3137,3160,3161,487,100,2035
561,Uttar Pradesh,Kannauj,1656616,1375788,273967,1263,504,2033,606,65,2390
562,Uttar Pradesh,Etawah,1581810,1457892,113961,1362,1045,1733,3917,94,1806
563,Uttar Pradesh,Auraiya,1379545,1273546,101963,1004,371,332,228,444,1657
564,Uttar Pradesh,Kanpur Dehat,1796184,1612968,176327,1300,478,819,155,103,4034
565,Uttar Pradesh,Kanpur Nagar,4581268,3792174,720660,15751,29676,2733,5710,589,13975
566,Uttar Pradesh,Jalaun ,1689974,1509708,171581,1148,463,2875,256,145,3798
567,Uttar Pradesh,Jhansi,1998603,1823930,147842,7050,4951,1203,7328,311,5988
568,Uttar Pradesh,Lalitpur,1221592,1163804,33724,1351,1034,69,20390,41,1179
569,Uttar Pradesh,Hamirpur,1104285,1010014,91269,814,196,74,41,273,1604
570,Uttar Pradesh,Mahoba,875958,815142,57454,965,389,94,234,157,1523
571,Uttar Pradesh,Banda,1799410,1637549,157612,1367,231,168,916,50,1517
572,Uttar Pradesh,Chitrakoot,991730,955372,34559,693,63,101,285,27,630
573,Uttar Pradesh,Fatehpur,2632733,2274674,350700,2201,402,172,199,47,4338
574,Uttar Pradesh,Pratapgarh,3209141,2731351,452394,3920,1451,7795,746,43,11441
575,Uttar Pradesh,Kaushambi,1599596,1372381,220423,2225,522,687,545,3,2810
576,Uttar Pradesh,Allahabad ,5954391,5102041,796756,13782,4377,4391,2247,305,30492
577,Uttar Pradesh,Bara Banki,3260699,2505444,737106,4857,2090,1553,3016,211,6422
578,Uttar Pradesh,Faizabad,2470996,2094271,365806,3225,1912,737,358,185,4502
579,Uttar Pradesh,Ambedkar Nagar,2397888,1985654,401678,2536,869,1817,235,33,5066
580,Uttar Pradesh,Sultanpur,3797117,3119590,650261,4453,1629,9989,426,336,10433
581,Uttar Pradesh,Bahraich,3487731,2291892,1169330,6400,8212,2793,1177,38,7889
582,Uttar Pradesh,Shrawasti,1117361,768643,343981,1427,407,323,68,56,2456
583,Uttar Pradesh,Balrampur,2148665,1333242,805975,3228,900,1866,198,87,3169
584,Uttar Pradesh,Gonda,3433919,2739076,678615,4735,1893,649,338,57,8556
585,Uttar Pradesh,Siddharthnagar,2559297,1789704,748073,3042,681,11964,179,356,5298
586,Uttar Pradesh,Basti,2464464,2082976,364510,3493,900,9753,107,99,2626
587,Uttar Pradesh,Sant Kabir Nagar,1715183,1300586,404410,1766,447,4393,95,35,3451
588,Uttar Pradesh,Mahrajganj,2684703,2196884,458650,3527,1381,16030,243,338,7650
589,Uttar Pradesh,Gorakhpur,4440895,4009037,403847,9662,2123,2848,460,207,12711
590,Uttar Pradesh,Kushinagar,3564544,2928462,620244,5006,767,4619,383,133,4930
591,Uttar Pradesh,Deoria,3100946,2730957,358539,3626,818,1182,209,146,5469
592,Uttar Pradesh,Azamgarh,4613913,3878626,718692,3810,719,5652,183,226,6005
593,Uttar Pradesh,Mau,2205968,1769937,428555,2109,340,564,155,129,4179
594,Uttar Pradesh,Ballia,3239774,3004240,213440,4463,892,1595,233,64,14847
595,Uttar Pradesh,Jaunpur,4494204,3981502,483750,4947,1286,7898,349,114,14358
596,Uttar Pradesh,Ghazipur,3620268,3233790,368153,4181,810,3145,213,184,9792
597,Uttar Pradesh,Chandauli,1952756,1727869,215081,2153,1389,340,100,1175,4649
598,Uttar Pradesh,Varanasi,3676841,3107681,546987,7696,3309,1146,1898,298,7826
599,Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),1578213,1368291,203887,1365,199,1562,161,7,2741
600,Uttar Pradesh,Mirzapur,2496970,2292534,195765,2373,1133,341,701,27,4096
601,Uttar Pradesh,Sonbhadra,1862559,1738769,103567,3963,1649,1747,487,1907,10470
602,Uttar Pradesh,Etah,1774480,1611126,146346,2464,708,2887,5671,18,5260
603,Uttar Pradesh,Kanshiram Nagar,1436719,1211427,213822,1969,2280,3907,313,72,2929
604,Uttarakhand,Uttarkashi,330086,324859,3554,353,167,563,74,105,411
605,Uttarakhand,Chamoli,391605,385818,4395,428,323,190,11,23,417
606,Uttarakhand,Rudraprayag,242285,240170,1486,171,38,9,4,44,363
607,Uttarakhand,Tehri Garhwal,618931,609835,7374,656,290,32,91,109,544
608,Uttarakhand,Dehradun,1696694,1424916,202057,13416,36454,11778,5117,217,2739
609,Uttarakhand,Garhwal,687271,660507,22931,2161,619,58,212,51,732
610,Uttarakhand,Pithoragarh,483439,475105,6015,1401,260,185,13,30,430
611,Uttarakhand,Bageshwar,259898,257509,1440,397,46,102,7,16,381
612,Uttarakhand,Almora,622506,611250,7752,1895,256,201,31,6,1115
613,Uttarakhand,Champawat,259648,249563,8693,870,336,24,28,6,128
614,Uttarakhand,Nainital,954605,809717,120742,5091,17419,570,356,181,529
615,Uttarakhand,Udham Singh Nagar,1648902,1104452,372267,6064,162768,505,738,159,1949
616,Uttarakhand,Hardwar,1890422,1214935,648119,4878,17364,709,2501,46,1870
617,West Bengal,Darjiling ,1846823,1366681,105086,141848,2032,209240,1840,15523,4573
618,West Bengal,Jalpaiguri ,3872846,3156781,445817,186279,2994,50676,1461,23816,5022
619,West Bengal,Koch Bihar ,2819086,2087766,720033,4122,449,445,1869,158,4244
620,West Bengal,Uttar Dinajpur,3007134,1482943,1501170,16702,477,432,1324,1622,2464
621,West Bengal,Dakshin Dinajpur,1676276,1232850,412788,24794,276,148,323,2786,2311
622,West Bengal,Maldah ,3988845,1914352,2045151,13209,747,359,639,7929,6459
623,West Bengal,Murshidabad ,7103807,2359061,4707573,18102,766,348,3037,7429,7491
624,West Bengal,Birbhum,3502404,2181515,1298054,10906,582,258,1152,6051,3886
625,West Bengal,Barddhaman ,7717563,6008472,1599764,21220,16675,1602,1674,44968,23188
626,West Bengal,Nadia ,5167600,3728482,1382682,33835,849,514,281,16893,4064
627,West Bengal,North Twenty Four Parganas,10009781,7352769,2584684,26933,9394,5818,4452,2930,22801
628,West Bengal,Hugli ,5519145,4574569,870204,7300,2662,1730,2160,49050,11470
629,West Bengal,Bankura ,3596674,3033581,290450,3865,386,260,2904,260694,4534
630,West Bengal,Puruliya,2930115,2373120,227249,8646,622,209,3052,309029,8188
631,West Bengal,Haora ,4850029,3535844,1270641,8666,4380,1258,9699,1265,18276
632,West Bengal,Kolkata,4496694,3440290,926414,39758,13849,4771,21178,1452,48982
633,West Bengal,South Twenty Four Parganas,8161961,5155545,2903075,66498,2783,2494,972,6065,24529
634,West Bengal,Paschim Medinipur,5913457,5056953,620554,23287,2854,2019,1550,184278,21962
635,West Bengal,Purba Medinipur,5095875,4343972,743436,2648,746,317,574,359,3823
